question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.104777
2,"a, b","a, b","a, b","a, b","a, b",0.104777
3,d,d,d,d,d,0.104777
4,b,b,b,b,b,0.104777
5,d,d,d,d,d,0.104777
6,a,a,a,a,a,0.104777
7,b,a,a,,,0.104777
8,d,d,d,d,d,0.104777
9,"a, b","a, b","a, b","a, b","a, b",0.104777
10,a,a,a,a,a,0.104777
11,a,a,a,a,a,0.104777
12,d,d,d,d,d,0.104777
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.104777
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.104777
15,a,a,a,a,a,0.104777
16,c,c,c,c,c,0.104777
17,a,a,a,a,a,0.104777
18,a,a,a,a,a,0.104777
19,"a, c","a, c","a, c","a, c","a, c",0.104777
20,"a, b, c","a, b, c, d","a, c, d","a, b, c","a, b, c",0.104777
21,c,c,c,c,c,0.104777
22,c,c,c,c,c,0.104777
23,b,b,a,a,c,0.104777
24,a,,a,a,a,0.104777
25,b,b,b,a,b,0.104777
26,c,c,d,c,d,0.104777
27,b,b,b,b,b,0.104777
28,a,a,a,a,a,0.104777
29,c,c,c,c,c,0.104777
30,b,b,b,b,b,0.104777
31,a,a,a,a,a,0.104777
32,c,c,c,c,c,0.104777
33,c,c,c,c,c,0.104777
34,c,c,c,c,c,0.104777
35,c,c,d,d,d,0.104777
36,d,d,d,d,d,0.104777
37,b,b,b,b,b,0.104777
38,b,b,b,b,b,0.104777
39,c,,,c,c,0.104777
40,d,d,,d,d,0.104777
41,d,d,d,d,d,0.104777
42,d,d,d,d,d,0.104777
43,a,a,a,a,a,0.104777
44,a,a,a,a,a,0.104777
45,d,d,d,d,d,0.104777
46,c,c,c,c,c,0.104777
47,b,b,b,b,b,0.104777
48,a,a,a,a,a,0.104777
49,d,d,d,d,d,0.104777
