question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.088154
2,"a, b","a, b","a, b","a, b","a, b",0.088154
3,d,d,d,d,d,0.088154
4,b,b,b,b,b,0.088154
5,d,d,d,d,d,0.088154
6,a,b,a,a,a,0.088154
7,a,d,d,d,d,0.088154
8,d,d,d,d,d,0.088154
9,"a, b","a, b","a, b","a, b","a, b",0.088154
10,a,a,a,a,a,0.088154
11,b,b,a,a,a,0.088154
12,d,d,d,d,d,0.088154
13,"a, b, c","a, b, c",b,"a, b, c","a, b, c",0.088154
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c","a, b, c, d",0.088154
15,a,a,a,a,a,0.088154
16,a,b,a,a,a,0.088154
17,a,a,a,a,a,0.088154
18,a,a,a,a,a,0.088154
19,"a, c","a, c","a, c","a, c","a, c",0.088154
20,"a, c, d","a, c, d","a, c, d","a, b, c, d","a, c, d",0.088154
21,c,c,c,c,c,0.088154
22,c,c,c,c,c,0.088154
23,a,a,a,a,a,0.088154
24,b,,e,b,b,0.088154
25,b,d,b,a,b,0.088154
26,c,c,c,c,c,0.088154
27,b,b,b,b,b,0.088154
28,a,a,a,a,a,0.088154
29,c,c,c,c,c,0.088154
30,b,b,b,b,b,0.088154
31,a,a,a,a,a,0.088154
32,c,c,c,c,c,0.088154
33,c,c,c,c,c,0.088154
34,c,c,c,c,c,0.088154
35,a,a,a,a,a,0.088154
36,d,d,d,d,d,0.088154
37,b,b,b,b,b,0.088154
38,b,b,b,b,b,0.088154
39,d,c,d,0.4232,0.4232,0.088154
40,d,d,d,d,d,0.088154
41,d,d,d,d,d,0.088154
42,d,d,d,d,d,0.088154
43,a,a,a,a,a,0.088154
44,a,a,a,a,a,0.088154
45,d,d,d,d,d,0.088154
46,b,c,b,c,c,0.088154
47,b,b,b,b,b,0.088154
48,c,c,c,c,c,0.088154
49,d,d,d,d,d,0.088154
