question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.298400
2,"a, b","a, b","a, b","a, b","a, b",0.298400
3,d,d,d,d,d,0.298400
4,b,b,b,b,b,0.298400
5,d,d,d,d,d,0.298400
6,a,a,a,a,a,0.298400
7,a,b,d,,d,0.298400
8,d,d,d,d,d,0.298400
9,"a, b","a, b","a, b","a, b","a, b",0.298400
10,a,a,a,a,a,0.298400
11,a,a,a,a,a,0.298400
12,d,d,d,d,d,0.298400
13,"a, b, c","a, b, c",a,a,"a, b, c",0.298400
14,"a, b, c","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c",0.298400
15,a,a,a,a,a,0.298400
16,c,c,c,c,c,0.298400
17,a,a,a,a,a,0.298400
18,a,a,a,a,a,0.298400
19,"a, c",c,"a, c",c,"a, c",0.298400
20,"a, c, d","a, b, c","a, b, c","a, b, c","a, c",0.298400
21,c,c,c,c,c,0.298400
22,c,c,c,c,c,0.298400
23,a,a,b,a,a,0.298400
24,"a, c",a,a,c,"a, b, c",0.298400
25,a,b,c,a,a,0.298400
26,d,d,d,d,c,0.298400
27,b,b,b,"a, b, c, d",b,0.298400
28,a,a,a,a,a,0.298400
29,c,c,c,c,c,0.298400
30,a,a,a,a,a,0.298400
31,a,a,a,a,a,0.298400
32,c,c,c,c,c,0.298400
33,c,c,c,c,,0.298400
34,c,c,c,c,c,0.298400
35,a,c,b,d,b,0.298400
36,d,d,d,d,d,0.298400
37,b,b,b,b,b,0.298400
38,b,b,b,b,b,0.298400
39,c,c,c,d,c,0.298400
40,d,d,d,d,d,0.298400
41,d,d,d,d,d,0.298400
42,d,d,d,d,d,0.298400
43,a,a,a,a,a,0.298400
44,a,a,a,a,a,0.298400
45,d,a,d,d,a,0.298400
46,c,"a, b, c, c",b,a,c,0.298400
47,b,b,b,b,b,0.298400
48,a,a,a,a,a,0.298400
49,d,d,d,d,d,0.298400
