question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,a,a,a,a,a,0.006248
2,"a, b","a, b","a, b","a, b","a, b",0.006248
3,d,d,d,d,d,0.006248
4,b,b,b,b,b,0.006248
5,d,d,d,d,d,0.006248
6,a,a,a,a,a,0.006248
7,d,d,d,d,d,0.006248
8,d,d,a,d,a,0.006248
9,"a, b","a, b","a, b","a, b","a, b",0.006248
10,a,a,a,a,a,0.006248
11,b,b,b,b,b,0.006248
12,d,d,"a, d",d,"a, d",0.006248
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.006248
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.006248
15,c,c,c,c,c,0.006248
16,b,b,b,b,b,0.006248
17,b,a,a,a,a,0.006248
18,a,a,a,a,a,0.006248
19,"b, c","b, c","b, c","b, c","b, d",0.006248
20,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.006248
21,c,c,c,c,c,0.006248
22,c,c,c,c,c,0.006248
23,a,a,a,a,a,0.006248
24,"a, c","a, c","a, c","a, c","a, c",0.006248
25,d,d,d,d,d,0.006248
26,d,d,d,d,d,0.006248
27,"b, c","b, c","b, c","b, c","b, c",0.006248
28,a,a,a,"a, d",a,0.006248
29,c,c,c,c,c,0.006248
30,b,b,b,b,b,0.006248
31,a,a,a,a,a,0.006248
32,c,c,c,c,c,0.006248
33,c,c,c,c,c,0.006248
34,c,c,c,c,c,0.006248
35,a,a,a,b,a,0.006248
36,c,c,c,c,c,0.006248
37,a,a,a,a,a,0.006248
38,a,a,a,a,a,0.006248
39,c,c,c,c,c,0.006248
40,d,c,d,c,d,0.006248
41,d,d,d,d,d,0.006248
42,d,"a, d","a, d","a, d","a, d",0.006248
43,a,a,a,a,a,0.006248
44,a,a,a,a,a,0.006248
45,d,d,d,d,d,0.006248
46,b,b,b,b,b,0.006248
47,a,a,a,a,a,0.006248
48,a,a,c,c,c,0.006248
49,d,d,d,d,d,0.006248
