question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.048511
2,"a, b","a, b","a, b","a, b","a, b",0.048511
3,d,d,d,d,d,0.048511
4,b,b,b,b,b,0.048511
5,d,d,d,d,d,0.048511
6,a,a,a,a,a,0.048511
7,d,d,d,d,b,0.048511
8,d,d,d,d,d,0.048511
9,"a, b","a, b","a, b","a, b","a, b",0.048511
10,a,a,a,a,a,0.048511
11,b,a,a,a,a,0.048511
12,d,d,d,d,d,0.048511
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.048511
14,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.048511
15,a,a,a,a,a,0.048511
16,c,c,c,c,c,0.048511
17,a,a,a,a,a,0.048511
18,a,a,a,a,a,0.048511
19,"a, c","b, c","b, d","a, c","a, c",0.048511
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.048511
21,c,c,c,c,c,0.048511
22,c,c,c,c,c,0.048511
23,a,a,d,c,a,0.048511
24,a,"a, c",a,a,a,0.048511
25,a,a,b,a,b,0.048511
26,b,c,c,c,c,0.048511
27,b,b,b,b,"b, c",0.048511
28,"a, d",a,a,a,"a, d",0.048511
29,c,d,d,c,d,0.048511
30,b,b,b,b,b,0.048511
31,a,a,a,a,a,0.048511
32,c,c,c,c,c,0.048511
33,c,c,c,c,c,0.048511
34,c,c,c,c,c,0.048511
35,a,d,a,a,d,0.048511
36,d,d,d,d,d,0.048511
37,b,b,b,b,b,0.048511
38,b,b,b,b,b,0.048511
39,d,c,c,d,c,0.048511
40,d,d,d,d,b,0.048511
41,d,d,d,d,d,0.048511
42,d,d,d,d,d,0.048511
43,a,a,a,a,a,0.048511
44,a,a,a,a,a,0.048511
45,d,d,d,d,d,0.048511
46,b,d,d,b,c,0.048511
47,b,b,b,b,b,0.048511
48,a,a,a,a,a,0.048511
49,d,d,d,d,d,0.048511
