question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.001423
2,"a, b","a, b","a, b","a, b","a, b",0.001423
3,d,d,d,d,d,0.001423
4,d,b,b,b,b,0.001423
5,d,a,d,d,d,0.001423
6,a,a,a,a,a,0.001423
7,d,d,d,a,d,0.001423
8,a,a,a,a,a,0.001423
9,"a, b","a, b","a, b","a, b","a, b",0.001423
10,b,b,b,b,b,0.001423
11,b,b,b,b,b,0.001423
12,d,d,d,d,d,0.001423
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.001423
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",a,0.001423
15,a,c,c,a,c,0.001423
16,a,c,c,a,c,0.001423
17,a,a,a,a,a,0.001423
18,a,a,a,a,a,0.001423
19,"b, d","b, d","b, d","b, d","b, d",0.001423
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.001423
21,c,c,c,c,c,0.001423
22,c,c,c,c,c,0.001423
23,a,a,a,a,a,0.001423
24,c,c,c,c,c,0.001423
25,d,c,c,c,c,0.001423
26,d,d,d,c,d,0.001423
27,b,b,b,b,b,0.001423
28,a,a,a,a,a,0.001423
29,d,d,d,d,d,0.001423
30,b,b,b,b,b,0.001423
31,a,a,a,a,a,0.001423
32,c,c,c,c,c,0.001423
33,c,b,c,c,c,0.001423
34,c,c,a,c,a,0.001423
35,a,a,b,b,a,0.001423
36,b,b,b,b,b,0.001423
37,b,b,b,b,b,0.001423
38,b,b,b,b,b,0.001423
39,c,d,d,d,c,0.001423
40,c,c,c,c,c,0.001423
41,d,d,d,d,d,0.001423
42,d,d,d,d,d,0.001423
43,a,a,a,a,a,0.001423
44,a,a,a,a,a,0.001423
45,d,d,d,d,d,0.001423
46,c,b,c,c,c,0.001423
47,a,a,a,a,a,0.001423
48,a,a,a,a,a,0.001423
49,d,d,d,d,d,0.001423
