question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.084424
2,"a, b","a, b","a, b","a, b","a, b",0.084424
3,d,d,d,d,d,0.084424
4,b,b,b,b,b,0.084424
5,d,d,,d,d,0.084424
6,a,a,,a,a,0.084424
7,a,a,,a,d,0.084424
8,d,d,d,d,d,0.084424
9,"a, b","a, b","a, b","a, b","a, b",0.084424
10,a,a,a,a,a,0.084424
11,a,a,a,a,a,0.084424
12,d,d,d,d,d,0.084424
13,"a, b, c","a, b, c","a, b, c","a, b, c","b, c",0.084424
14,,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.084424
15,,a,a,a,a,0.084424
16,,c,c,c,c,0.084424
17,a,a,a,a,a,0.084424
18,a,a,a,a,a,0.084424
19,"a, c","b, c","a, c","a, c","a, c",0.084424
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.084424
21,c,c,c,c,c,0.084424
22,c,c,c,c,c,0.084424
23,b,a,a,b,a,0.084424
24,a,a,c,a,c,0.084424
25,d,b,b,b,c,0.084424
26,c,d,c,,c,0.084424
27,b,b,b,b,b,0.084424
28,a,a,a,a,a,0.084424
29,c,c,d,c,c,0.084424
30,b,b,b,b,b,0.084424
31,a,a,a,a,a,0.084424
32,c,c,c,,c,0.084424
33,c,c,c,c,c,0.084424
34,c,c,c,c,c,0.084424
35,b,a,b,c,d,0.084424
36,d,d,d,d,d,0.084424
37,b,b,b,b,b,0.084424
38,b,b,b,b,b,0.084424
39,,d,,a,a,0.084424
40,,d,d,d,d,0.084424
41,d,d,d,d,d,0.084424
42,d,d,d,d,d,0.084424
43,a,a,a,a,a,0.084424
44,a,a,a,a,a,0.084424
45,d,d,d,d,d,0.084424
46,c,,c,c,c,0.084424
47,,b,b,b,b,0.084424
48,a,a,a,a,a,0.084424
49,d,d,d,d,d,0.084424
