question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.395208
2,"a, b","a, b","a, b","a, b","a, b",0.395208
3,d,d,d,d,d,0.395208
4,b,b,b,b,b,0.395208
5,d,d,d,d,d,0.395208
6,a,a,a,a,a,0.395208
7,d,a,a,b,d,0.395208
8,d,d,d,d,d,0.395208
9,"a, b","a, b","a, b","a, b","a, b",0.395208
10,a,a,a,a,a,0.395208
11,a,a,a,a,a,0.395208
12,d,d,d,d,d,0.395208
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.395208
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.395208
15,a,a,a,a,a,0.395208
16,c,c,c,c,c,0.395208
17,a,a,a,a,a,0.395208
18,a,a,a,a,a,0.395208
19,"a, c","a, c","a, c","a, c","a, c",0.395208
20,"a, b, c, d","a, b, c, d","a, b, c","a, b, c","a, c",0.395208
21,c,c,c,c,c,0.395208
22,c,c,c,c,c,0.395208
23,a,c,c,c,b,0.395208
24,a,c,a,a,a,0.395208
25,b,c,b,b,b,0.395208
26,c,d,c,c,c,0.395208
27,b,b,b,b,b,0.395208
28,a,a,a,a,a,0.395208
29,c,c,c,c,c,0.395208
30,b,b,b,b,b,0.395208
31,a,a,a,a,a,0.395208
32,c,c,c,c,c,0.395208
33,c,c,c,c,c,0.395208
34,c,c,c,c,c,0.395208
35,b,d,c,c,c,0.395208
36,d,d,d,d,d,0.395208
37,b,b,b,b,b,0.395208
38,b,b,b,b,b,0.395208
39,c,c,c,c,c,0.395208
40,d,d,d,d,d,0.395208
41,d,d,d,d,d,0.395208
42,d,d,d,d,d,0.395208
43,a,a,a,a,a,0.395208
44,a,a,a,a,a,0.395208
45,d,d,d,d,d,0.395208
46,c,c,c,c,c,0.395208
47,b,b,b,b,b,0.395208
48,a,a,a,a,a,0.395208
49,d,d,d,d,d,0.395208
