rank,model,mean_accuracy,std_accuracy,total_cost,total_tokens,avg_cost_per_run,avg_tokens_per_run,cost_per_1pct_accuracy,duration_seconds,num_runs
1,deepseek-deepseek-v3-2,0.8327,0.0238,0.5239,1102705,0.104777,220541.0,0.6292,4:13:47.800289,5
2,qwen-qwen3-5-plus-02-15,0.8327,0.0153,1.9760,867871,0.395208,173574.2,2.3732,1:08:13.797502,5
3,z-ai-glm-4-7,0.8163,0.0289,2.4797,1329950,0.495943,265990.0,3.0377,3:22:09.561249,5
4,x-ai-grok-4-1-fast,0.8122,0.0153,0.4055,878206,0.081095,175641.2,0.4992,0:51:04.526603,5
5,minimax-minimax-m2-1,0.7837,0.0277,1.4920,1261649,0.298400,252329.8,1.9039,2:19:40.693674,5
6,qwen-qwen3-5-flash-02-23,0.7755,0.0387,0.4221,1093801,0.084424,218760.2,0.5443,0:53:11.789013,5
7,openai-gpt-5-mini,0.7469,0.0245,0.2426,165092,0.048511,33018.4,0.3247,0:15:32.107139,5
8,google-gemini-3-flash-preview,0.7388,0.0238,0.4408,188663,0.088154,37732.6,0.5966,0:06:18.218093,5
9,qwen-qwen3-235b-a22b-2507,0.6041,0.0208,0.0071,54661,0.001423,10932.2,0.0118,0:02:15.599097,5
10,mistralai-mistral-large-2512,0.5592,0.0245,0.0312,55698,0.006248,11139.6,0.0559,0:01:34.709864,5
11,openai-gpt-4-1-mini,0.4694,0.0289,0.0311,57181,0.006221,11436.2,0.0663,0:01:52.701562,5
