question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.081095
2,"a, b","a, b","a, b","a, b","a, b",0.081095
3,d,d,d,d,d,0.081095
4,b,b,b,b,b,0.081095
5,d,d,d,d,d,0.081095
6,a,a,a,a,a,0.081095
7,a,a,a,a,a,0.081095
8,d,d,d,d,d,0.081095
9,"a, b","a, b","a, b","a, b","a, b",0.081095
10,a,a,a,a,a,0.081095
11,a,a,a,a,a,0.081095
12,d,d,d,d,d,0.081095
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.081095
14,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.081095
15,a,a,a,a,a,0.081095
16,c,c,c,c,c,0.081095
17,a,a,a,a,a,0.081095
18,a,a,a,a,a,0.081095
19,"a, c","a, c","a, c","a, c","a, c",0.081095
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.081095
21,c,c,c,c,c,0.081095
22,c,c,c,c,c,0.081095
23,c,b,b,b,a,0.081095
24,,a,a,a,a,0.081095
25,a,b,c,b,b,0.081095
26,d,d,c,d,d,0.081095
27,b,b,b,b,b,0.081095
28,a,a,a,a,a,0.081095
29,c,c,c,d,c,0.081095
30,b,b,b,b,b,0.081095
31,a,a,a,a,a,0.081095
32,c,c,c,c,c,0.081095
33,c,c,b,c,c,0.081095
34,c,c,c,c,c,0.081095
35,c,b,c,b,c,0.081095
36,d,d,d,d,d,0.081095
37,b,b,b,b,b,0.081095
38,b,b,b,b,b,0.081095
39,c,c,c,c,c,0.081095
40,d,d,d,d,d,0.081095
41,d,d,d,d,d,0.081095
42,d,d,d,d,d,0.081095
43,a,a,a,a,a,0.081095
44,a,a,a,a,a,0.081095
45,d,d,d,d,d,0.081095
46,d,d,d,d,d,0.081095
47,b,b,b,b,b,0.081095
48,a,a,a,a,a,0.081095
49,d,d,d,d,d,0.081095
