question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.495943
2,"a, b","a, b","a, b","a, b","a, b",0.495943
3,d,d,d,d,d,0.495943
4,b,b,b,b,b,0.495943
5,d,d,d,d,d,0.495943
6,a,a,a,a,a,0.495943
7,a,a,a,a,b,0.495943
8,d,d,d,d,d,0.495943
9,"a, b","a, b","a, b","a, b","a, b",0.495943
10,a,a,a,a,a,0.495943
11,a,a,a,a,a,0.495943
12,d,d,d,d,d,0.495943
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.495943
14,"a, b, c","a, b, c","a, b, c, d","a, b, c, d","a, b, c",0.495943
15,a,a,a,a,a,0.495943
16,c,c,c,c,c,0.495943
17,a,a,a,a,a,0.495943
18,a,a,a,a,a,0.495943
19,"a, c","a, c","a, c","a, c","a, c",0.495943
20,"a, c, d","a, c, d","a, c, d","a, b, c","a, b, c, d",0.495943
21,c,c,c,c,c,0.495943
22,c,c,c,c,c,0.495943
23,,d,b,a,a,0.495943
24,a,b,a,a,a,0.495943
25,b,b,b,b,b,0.495943
26,d,d,d,d,d,0.495943
27,b,b,b,b,b,0.495943
28,a,a,a,a,a,0.495943
29,c,c,c,c,c,0.495943
30,b,a,b,b,b,0.495943
31,a,a,a,a,a,0.495943
32,c,c,c,c,c,0.495943
33,c,c,c,c,d,0.495943
34,c,c,c,c,c,0.495943
35,c,,c,,d,0.495943
36,d,d,d,d,d,0.495943
37,b,b,b,b,b,0.495943
38,b,b,b,b,b,0.495943
39,,,c,d,c,0.495943
40,d,d,d,d,d,0.495943
41,d,d,d,d,d,0.495943
42,d,d,d,d,d,0.495943
43,a,a,a,a,a,0.495943
44,a,a,a,a,a,0.495943
45,d,d,d,d,d,0.495943
46,d,a,d,c,c,0.495943
47,b,b,b,b,b,0.495943
48,a,a,a,a,a,0.495943
49,d,d,d,d,d,0.495943
