question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,a,b,0.002752
2,"a, b","a, b","a, b","a, b","a, b",0.002752
3,b,b,b,d,d,0.002752
4,c,c,b,c,b,0.002752
5,d,d,d,d,d,0.002752
6,a,a,c,b,b,0.002752
7,a,b,a,a,c,0.002752
8,d,a,d,d,d,0.002752
9,"a, b","a, b","a, b","a, b","a, b",0.002752
10,d,b,a,a,c,0.002752
11,b,b,b,b,b,0.002752
12,d,d,d,d,d,0.002752
13,"a, b, c","a, b, c",b,"a, b, c","a, b, c",0.002752
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.002752
15,c,a,c,c,a,0.002752
16,d,d,d,a,a,0.002752
17,a,c,c,c,a,0.002752
18,a,a,d,d,d,0.002752
19,"a, d","b, d","a, d",a,"b, c",0.002752
20,"a, c","a, b, c","a, b, c","a, b, c","a, c",0.002752
21,c,c,a,c,c,0.002752
22,c,c,c,c,c,0.002752
23,d,c,a,d,c,0.002752
24,c,a,"b, c, d","c, d",c,0.002752
25,d,b,c,c,d,0.002752
26,b,b,b,b,b,0.002752
27,b,b,b,b,b,0.002752
28,a,a,"a, d",a,a,0.002752
29,d,d,c,d,c,0.002752
30,b,b,b,b,b,0.002752
31,a,a,a,a,a,0.002752
32,c,c,c,c,c,0.002752
33,c,c,c,c,c,0.002752
34,c,c,b,c,a,0.002752
35,a,a,d,b,c,0.002752
36,d,d,a,c,d,0.002752
37,b,a,a,b,a,0.002752
38,d,a,d,d,a,0.002752
39,d,b,c,c,c,0.002752
40,d,c,c,d,c,0.002752
41,d,d,d,d,d,0.002752
42,d,d,d,d,d,0.002752
43,a,a,a,a,a,0.002752
44,a,a,a,a,a,0.002752
45,d,d,d,d,d,0.002752
46,d,b,d,d,d,0.002752
47,a,a,c,c,c,0.002752
48,b,c,c,c,a,0.002752
49,d,d,d,d,d,0.002752
