question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.006089
2,"a, b","a, b","a, b","a, b","a, b",0.006089
3,d,d,d,d,d,0.006089
4,b,b,b,b,b,0.006089
5,d,d,d,d,d,0.006089
6,a,a,a,a,a,0.006089
7,b,a,b,b,a,0.006089
8,d,d,d,d,d,0.006089
9,"a, b","a, b","a, b","a, b","a, b",0.006089
10,b,a,b,a,b,0.006089
11,b,b,b,b,b,0.006089
12,d,d,d,d,c,0.006089
13,a,a,a,a,a,0.006089
14,a,"a, b, c, d",a,"a, b, c, d","a, b, c",0.006089
15,b,a,b,b,b,0.006089
16,a,a,a,b,a,0.006089
17,a,a,a,a,a,0.006089
18,a,a,a,a,a,0.006089
19,"a, c","a, c","a, c","a, c","a, c",0.006089
20,"a, c, d","a, c, d","a, b, c, d","a, c, d","a, c, d",0.006089
21,c,c,c,c,c,0.006089
22,c,c,c,c,c,0.006089
23,a,c,c,a,c,0.006089
24,a,a,a,a,a,0.006089
25,a,d,a,a,d,0.006089
26,c,c,c,c,c,0.006089
27,b,b,b,b,b,0.006089
28,a,a,a,a,a,0.006089
29,c,c,c,c,c,0.006089
30,b,b,b,b,b,0.006089
31,a,a,,a,a,0.006089
32,c,c,c,c,c,0.006089
33,c,c,c,c,c,0.006089
34,c,c,c,c,c,0.006089
35,a,a,a,a,a,0.006089
36,d,d,d,d,d,0.006089
37,b,b,b,b,b,0.006089
38,b,b,b,b,b,0.006089
39,d,a,a,a,d,0.006089
40,d,d,d,d,d,0.006089
41,,d,d,d,d,0.006089
42,d,d,d,d,d,0.006089
43,a,a,a,a,a,0.006089
44,a,a,a,a,a,0.006089
45,d,d,d,d,d,0.006089
46,d,c,d,c,c,0.006089
47,b,b,b,b,b,0.006089
48,c,c,c,c,c,0.006089
49,d,d,d,d,d,0.006089
