question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.004780
2,"a, b","a, b","a, b","a, b","a, b",0.004780
3,d,d,d,d,d,0.004780
4,d,d,c,c,b,0.004780
5,d,d,d,d,d,0.004780
6,b,c,b,b,b,0.004780
7,d,d,d,d,d,0.004780
8,d,d,d,d,d,0.004780
9,"a, d","a, c, d","a, c, d","a, c","a, c, d",0.004780
10,b,b,a,a,b,0.004780
11,b,b,b,b,b,0.004780
12,d,c,c,d,d,0.004780
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.004780
14,"a, b, c, d","a, b, c, d","a, b, c","a, b, c, d","a, b, c",0.004780
15,a,a,a,a,a,0.004780
16,c,b,b,c,b,0.004780
17,a,b,a,b,a,0.004780
18,c,c,c,c,c,0.004780
19,"b, d","b, d","b, d","b, d","b, d",0.004780
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.004780
21,a,a,a,a,a,0.004780
22,d,b,d,d,d,0.004780
23,a,d,a,a,c,0.004780
24,a,a,a,a,a,0.004780
25,c,c,c,c,c,0.004780
26,b,b,b,b,b,0.004780
27,b,b,b,b,b,0.004780
28,a,a,a,a,a,0.004780
29,a,d,a,c,d,0.004780
30,b,b,b,b,b,0.004780
31,a,a,a,a,a,0.004780
32,c,c,c,c,c,0.004780
33,c,c,c,c,c,0.004780
34,b,a,b,b,b,0.004780
35,a,a,a,a,a,0.004780
36,d,a,d,d,d,0.004780
37,a,a,a,b,a,0.004780
38,a,a,a,a,a,0.004780
39,a,a,c,a,a,0.004780
40,c,c,c,c,c,0.004780
41,d,d,d,d,d,0.004780
42,d,d,d,d,d,0.004780
43,a,a,a,a,a,0.004780
44,a,a,a,a,a,0.004780
45,d,d,d,d,d,0.004780
46,b,b,b,b,b,0.004780
47,b,b,c,b,c,0.004780
48,b,a,b,c,a,0.004780
49,d,d,d,d,d,0.004780
