question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.001556
2,"a, b","a, b","a, b","a, b","a, b",0.001556
3,d,d,,d,d,0.001556
4,b,d,b,b,b,0.001556
5,d,d,d,d,d,0.001556
6,a,,a,a,b,0.001556
7,d,d,d,d,d,0.001556
8,,a,a,d,a,0.001556
9,"a, b","a, b","a, b","a, b","a, b",0.001556
10,b,b,b,b,b,0.001556
11,b,b,,,,0.001556
12,d,d,d,d,c,0.001556
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.001556
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.001556
15,a,a,a,c,c,0.001556
16,a,a,a,a,a,0.001556
17,a,a,a,a,a,0.001556
18,a,a,a,a,a,0.001556
19,"b, d","b, d","b, d","b, d","b, d",0.001556
20,"a, b, c, d","a, c, d","a, b, c","a, b, c","a, b, c",0.001556
21,c,c,c,c,c,0.001556
22,c,c,c,c,c,0.001556
23,a,a,a,a,a,0.001556
24,c,c,c,c,c,0.001556
25,c,c,c,d,c,0.001556
26,d,d,d,d,d,0.001556
27,b,b,b,b,b,0.001556
28,a,a,a,a,a,0.001556
29,d,,d,d,d,0.001556
30,,b,b,b,b,0.001556
31,a,a,a,a,a,0.001556
32,c,c,c,c,c,0.001556
33,c,c,c,b,b,0.001556
34,c,c,c,c,c,0.001556
35,b,b,b,b,a,0.001556
36,b,d,b,b,b,0.001556
37,b,b,b,b,b,0.001556
38,b,b,b,b,b,0.001556
39,,c,c,d,c,0.001556
40,c,c,c,c,c,0.001556
41,d,d,d,d,d,0.001556
42,d,d,d,d,d,0.001556
43,a,a,a,,a,0.001556
44,a,a,a,a,a,0.001556
45,d,d,d,d,d,0.001556
46,b,b,c,c,c,0.001556
47,a,a,b,a,a,0.001556
48,a,a,a,a,a,0.001556
49,d,d,d,d,d,0.001556
