question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,a,b,a,a,a,0.005189
2,"a, b","a, b","a, b","a, b","a, b",0.005189
3,d,d,d,d,d,0.005189
4,b,b,b,c,b,0.005189
5,d,d,d,d,d,0.005189
6,a,a,a,a,a,0.005189
7,c,d,a,c,c,0.005189
8,d,d,d,d,d,0.005189
9,"a, b","a, b","a, b","a, b","a, b",0.005189
10,a,b,c,a,b,0.005189
11,b,b,b,b,b,0.005189
12,d,d,d,d,d,0.005189
13,"a, b, c","a, b, c","a, b","a, b, c","a, b, c",0.005189
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.005189
15,c,c,a,a,c,0.005189
16,b,b,b,a,b,0.005189
17,a,a,a,a,a,0.005189
18,a,a,a,a,a,0.005189
19,"a, d",d,"b, c","b, d","b, d",0.005189
20,"a, b, c, d","a, b, c, d","a, b, c","a, b, c, d","a, b, c, d",0.005189
21,a,c,a,a,a,0.005189
22,a,a,a,b,b,0.005189
23,a,a,b,a,c,0.005189
24,b,a,c,a,a,0.005189
25,c,a,d,a,b,0.005189
26,c,c,c,b,b,0.005189
27,b,b,b,b,b,0.005189
28,a,a,a,a,a,0.005189
29,d,c,c,c,c,0.005189
30,b,b,b,b,b,0.005189
31,a,a,a,a,a,0.005189
32,c,c,c,c,c,0.005189
33,c,c,c,c,c,0.005189
34,b,a,b,b,a,0.005189
35,b,b,c,a,b,0.005189
36,c,c,c,c,d,0.005189
37,b,b,c,b,b,0.005189
38,b,d,b,a,b,0.005189
39,c,d,a,a,d,0.005189
40,d,d,d,c,d,0.005189
41,d,d,d,d,d,0.005189
42,d,d,d,d,d,0.005189
43,a,a,a,a,a,0.005189
44,a,a,a,a,a,0.005189
45,d,d,d,d,d,0.005189
46,b,c,b,b,b,0.005189
47,a,a,b,c,d,0.005189
48,b,c,c,a,a,0.005189
49,d,d,d,d,d,0.005189
