question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.001506
2,"a, b","a, b","a, b","a, b","a, b",0.001506
3,b,b,b,b,b,0.001506
4,b,b,b,b,b,0.001506
5,d,d,d,d,d,0.001506
6,a,a,a,a,a,0.001506
7,d,d,d,d,d,0.001506
8,a,a,a,a,a,0.001506
9,"a, d","a, d","a, d","a, d","a, d",0.001506
10,b,a,b,b,b,0.001506
11,b,b,b,b,b,0.001506
12,d,d,d,d,d,0.001506
13,"b, c","a, b, c","b, c","a, b, c","b, c",0.001506
14,"a, b, c",a,"a, b, c",a,"a, b, c",0.001506
15,c,c,c,c,c,0.001506
16,c,c,d,b,c,0.001506
17,a,b,b,c,b,0.001506
18,a,a,a,a,a,0.001506
19,c,c,"a, c","a, c",c,0.001506
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.001506
21,d,d,d,d,d,0.001506
22,b,b,b,b,b,0.001506
23,b,b,b,b,c,0.001506
24,a,a,a,a,a,0.001506
25,d,d,d,d,d,0.001506
26,b,b,b,b,b,0.001506
27,b,b,b,b,b,0.001506
28,a,a,a,a,a,0.001506
29,d,d,d,d,d,0.001506
30,b,b,b,b,b,0.001506
31,a,a,a,a,a,0.001506
32,c,c,c,c,c,0.001506
33,c,c,c,c,c,0.001506
34,b,b,c,b,b,0.001506
35,a,b,c,a,a,0.001506
36,d,d,d,d,d,0.001506
37,a,b,a,b,a,0.001506
38,b,b,b,b,b,0.001506
39,d,d,d,d,d,0.001506
40,d,d,d,d,d,0.001506
41,d,d,d,d,d,0.001506
42,d,d,d,d,d,0.001506
43,a,a,a,a,a,0.001506
44,a,a,a,a,a,0.001506
45,a,a,a,a,a,0.001506
46,b,b,b,b,b,0.001506
47,a,a,a,a,b,0.001506
48,c,a,a,a,c,0.001506
49,d,d,d,d,d,0.001506
