question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,a,b,c,a,a,0.003269
2,"a, b","a, b","a, b","a, b","a, b",0.003269
3,b,d,b,b,b,0.003269
4,c,c,c,c,c,0.003269
5,d,d,d,d,d,0.003269
6,a,a,a,a,a,0.003269
7,b,d,a,a,b,0.003269
8,d,a,a,a,d,0.003269
9,"a, b","a, b","a, c, d","a, b, d","a, b",0.003269
10,b,b,b,b,b,0.003269
11,b,b,b,b,a,0.003269
12,d,d,d,d,d,0.003269
13,"b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.003269
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.003269
15,a,d,c,d,a,0.003269
16,a,b,a,a,a,0.003269
17,a,c,a,a,a,0.003269
18,a,a,a,a,a,0.003269
19,"b, d","b, d","b, d","b, d","b, d",0.003269
20,"a, b, c, d","a, b, c, d","a, b, c","a, b, c, d","a, b, c",0.003269
21,c,c,a,a,a,0.003269
22,c,c,c,c,c,0.003269
23,a,a,a,b,a,0.003269
24,a,a,a,a,a,0.003269
25,a,c,c,a,d,0.003269
26,b,b,b,b,b,0.003269
27,b,b,b,b,b,0.003269
28,a,a,a,a,a,0.003269
29,c,d,c,d,d,0.003269
30,b,b,b,b,b,0.003269
31,a,a,a,a,a,0.003269
32,c,c,c,c,c,0.003269
33,c,c,c,c,c,0.003269
34,a,a,a,b,a,0.003269
35,b,a,,a,a,0.003269
36,b,b,a,a,a,0.003269
37,b,b,b,b,b,0.003269
38,b,b,a,a,a,0.003269
39,a,a,a,a,a,0.003269
40,d,a,d,b,d,0.003269
41,d,d,d,d,d,0.003269
42,d,d,d,d,d,0.003269
43,a,a,a,a,a,0.003269
44,a,a,a,a,a,0.003269
45,d,d,d,a,d,0.003269
46,b,b,c,c,b,0.003269
47,a,b,b,a,a,0.003269
48,c,c,a,c,c,0.003269
49,d,d,d,d,d,0.003269
