question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.028188
2,"a, b","a, b","a, b","a, b","a, b",0.028188
3,d,d,d,d,d,0.028188
4,b,b,b,b,b,0.028188
5,d,d,d,d,d,0.028188
6,a,a,a,a,a,0.028188
7,d,d,d,d,d,0.028188
8,d,d,d,d,d,0.028188
9,"a, b","a, b","a, b","a, b","a, b",0.028188
10,a,a,a,a,a,0.028188
11,a,a,a,a,a,0.028188
12,d,d,d,d,d,0.028188
13,"a, b, c","a, b, c","a, b, c","a, c","a, b, c",0.028188
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.028188
15,a,a,a,a,a,0.028188
16,c,c,c,c,c,0.028188
17,a,a,a,a,a,0.028188
18,a,a,a,a,a,0.028188
19,"a, c","a, c","a, c","a, c","a, c",0.028188
20,"a, b, c","a, c","a, b, c","a, c","a, b, c",0.028188
21,c,c,c,c,c,0.028188
22,c,c,c,c,c,0.028188
23,c,c,a,a,c,0.028188
24,a,a,,a,a,0.028188
25,a,b,b,c,c,0.028188
26,c,d,c,c,c,0.028188
27,b,b,b,b,b,0.028188
28,a,a,a,a,a,0.028188
29,c,c,c,c,d,0.028188
30,b,b,b,b,b,0.028188
31,a,a,a,a,a,0.028188
32,c,c,c,c,c,0.028188
33,c,c,c,c,c,0.028188
34,c,c,c,c,c,0.028188
35,a,a,d,c,b,0.028188
36,d,d,d,d,d,0.028188
37,b,b,b,b,b,0.028188
38,b,b,b,b,b,0.028188
39,c,c,c,c,d,0.028188
40,c,d,d,d,d,0.028188
41,d,d,d,d,d,0.028188
42,d,d,d,d,d,0.028188
43,a,a,a,a,a,0.028188
44,a,a,a,a,a,0.028188
45,d,d,d,d,d,0.028188
46,c,c,c,d,c,0.028188
47,b,b,b,b,b,0.028188
48,a,a,a,a,a,0.028188
49,d,d,d,d,d,0.028188
