question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.090113
2,"a, b","a, b","a, b","a, b","a, b",0.090113
3,d,d,d,d,d,0.090113
4,b,b,b,b,b,0.090113
5,d,d,d,d,d,0.090113
6,a,a,a,a,a,0.090113
7,a,a,a,a,a,0.090113
8,d,d,d,d,d,0.090113
9,"a, b","a, b","a, b","a, b","a, b",0.090113
10,a,a,a,a,a,0.090113
11,a,a,a,a,a,0.090113
12,d,d,d,d,d,0.090113
13,"a, b, c","b, c",b,"a, b, c","a, b, c",0.090113
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c",0.090113
15,a,a,a,a,a,0.090113
16,c,c,c,c,c,0.090113
17,a,a,a,a,a,0.090113
18,a,a,a,a,a,0.090113
19,"a, c","a, c","a, c","a, c","a, c",0.090113
20,"a, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.090113
21,c,c,c,c,c,0.090113
22,c,c,c,c,c,0.090113
23,c,c,c,c,c,0.090113
24,"a, b, c, d, a, b, c, d, b, c, d",a,a,"a, b, c, d, c",a,0.090113
25,b,b,a,b,b,0.090113
26,d,d,d,d,d,0.090113
27,b,b,b,b,b,0.090113
28,a,a,a,a,a,0.090113
29,c,c,c,c,c,0.090113
30,b,b,b,b,b,0.090113
31,a,a,a,a,a,0.090113
32,c,c,c,c,c,0.090113
33,c,c,c,c,c,0.090113
34,c,c,c,c,c,0.090113
35,d,a,a,a,a,0.090113
36,d,d,d,d,d,0.090113
37,b,b,b,b,b,0.090113
38,b,b,b,b,b,0.090113
39,d,a,d,d,a,0.090113
40,d,d,d,d,d,0.090113
41,d,d,d,d,d,0.090113
42,d,d,d,d,d,0.090113
43,a,a,a,a,a,0.090113
44,a,a,a,a,a,0.090113
45,d,d,d,d,d,0.090113
46,c,c,c,c,c,0.090113
47,b,b,b,b,b,0.090113
48,a,a,a,a,a,0.090113
49,d,d,d,d,d,0.090113
