question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.064286
2,"a, b","a, b","a, b","a, b","a, b",0.064286
3,d,d,c,d,d,0.064286
4,b,b,b,b,b,0.064286
5,d,d,d,d,d,0.064286
6,a,a,a,a,a,0.064286
7,b,d,a,d,a,0.064286
8,d,d,d,d,d,0.064286
9,"a, b","a, b","a, b","a, b","a, b",0.064286
10,a,a,a,a,a,0.064286
11,a,b,a,a,a,0.064286
12,d,d,d,d,d,0.064286
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.064286
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c",0.064286
15,a,a,a,a,a,0.064286
16,b,b,c,c,c,0.064286
17,a,a,b,a,b,0.064286
18,a,a,a,a,a,0.064286
19,"b, d","a, c","a, c","b, d","a, c",0.064286
20,"a, b, c","a, b, c","a, b, c, d","a, c, d","a, b, c",0.064286
21,c,c,c,c,c,0.064286
22,c,c,c,c,c,0.064286
23,a,a,a,a,a,0.064286
24,b,a,c,c,a,0.064286
25,b,c,b,b,b,0.064286
26,c,c,d,c,c,0.064286
27,b,b,b,b,b,0.064286
28,a,a,a,a,a,0.064286
29,c,c,c,c,c,0.064286
30,b,b,b,b,b,0.064286
31,a,a,a,a,a,0.064286
32,c,c,c,c,c,0.064286
33,d,d,b,d,b,0.064286
34,c,c,c,c,c,0.064286
35,a,b,a,b,b,0.064286
36,d,d,d,d,d,0.064286
37,b,b,b,b,b,0.064286
38,b,b,b,b,b,0.064286
39,c,c,c,c,c,0.064286
40,d,d,d,d,d,0.064286
41,d,d,d,d,d,0.064286
42,d,d,d,d,d,0.064286
43,a,a,a,a,a,0.064286
44,a,a,a,a,a,0.064286
45,d,d,d,d,d,0.064286
46,c,c,a,c,d,0.064286
47,b,a,b,b,b,0.064286
48,a,a,a,a,a,0.064286
49,d,d,d,d,d,0.064286
