question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.071585
2,"a, b","a, b","a, b","a, b","a, b",0.071585
3,d,d,d,d,d,0.071585
4,b,b,b,b,b,0.071585
5,d,d,d,d,d,0.071585
6,a,a,a,a,a,0.071585
7,c,d,d,c,d,0.071585
8,d,d,d,d,d,0.071585
9,"a, b","a, b","a, b","a, b","a, b",0.071585
10,d,a,a,a,a,0.071585
11,a,b,a,a,b,0.071585
12,d,d,d,d,d,0.071585
13,"a, c","a, c","a, b, c","a, c","a, c",0.071585
14,"a, b, c","a, b, c","a, b, c, d","a, b, c","a, b, c",0.071585
15,a,a,a,a,a,0.071585
16,c,c,c,c,c,0.071585
17,a,a,a,a,d,0.071585
18,a,a,a,a,a,0.071585
19,"b, d","b, d","b, d","b, c","b, d",0.071585
20,"a, b, c","a, b, c","a, b, c","a, b, c, d","a, b, c",0.071585
21,c,c,c,c,c,0.071585
22,c,c,c,c,c,0.071585
23,a,d,c,a,c,0.071585
24,b,"a, b, c, d","a, b, c, d",a,a,0.071585
25,a,a,a,a,a,0.071585
26,c,b,b,b,b,0.071585
27,b,b,b,b,b,0.071585
28,a,a,a,a,a,0.071585
29,d,d,c,d,c,0.071585
30,a,b,a,b,b,0.071585
31,a,a,a,a,a,0.071585
32,c,c,c,c,c,0.071585
33,a,c,c,c,a,0.071585
34,c,c,c,c,c,0.071585
35,a,d,a,a,a,0.071585
36,d,d,d,d,d,0.071585
37,b,b,b,b,b,0.071585
38,b,b,b,b,b,0.071585
39,c,d,c,c,d,0.071585
40,c,d,"a, b, c, d",d,d,0.071585
41,d,d,d,d,d,0.071585
42,d,d,d,d,d,0.071585
43,a,a,a,a,a,0.071585
44,a,a,a,a,a,0.071585
45,d,d,d,d,d,0.071585
46,c,b,b,b,a,0.071585
47,b,b,b,b,b,0.071585
48,a,a,a,a,a,0.071585
49,d,d,d,d,d,0.071585
