question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.046502
2,"a, b","a, b","a, b","a, b","a, b",0.046502
3,d,d,d,d,d,0.046502
4,b,b,b,b,b,0.046502
5,d,d,d,d,d,0.046502
6,a,a,a,a,a,0.046502
7,a,a,d,d,a,0.046502
8,d,d,d,d,d,0.046502
9,"a, b","a, b","a, b","a, b","a, b",0.046502
10,a,a,a,a,a,0.046502
11,a,a,b,a,a,0.046502
12,d,d,d,d,d,0.046502
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.046502
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.046502
15,a,a,a,a,a,0.046502
16,c,c,b,c,c,0.046502
17,a,a,a,a,a,0.046502
18,a,a,a,a,a,0.046502
19,"a, c","a, c","b, d","a, c","a, c",0.046502
20,"a, b, c, d","a, b, c","a, c, d","a, b, c","a, b, c, d",0.046502
21,c,c,c,c,c,0.046502
22,c,c,c,c,c,0.046502
23,a,a,a,b,a,0.046502
24,"a, b, c, d, c, a, b, c, d, c, a, b, c, d, c","a, b, c, d, a, b, c, d, c, c",c,"a, b, c, d",c,0.046502
25,b,b,a,a,c,0.046502
26,d,d,d,d,d,0.046502
27,b,b,b,b,b,0.046502
28,a,a,,a,a,0.046502
29,c,c,c,c,c,0.046502
30,b,b,b,b,b,0.046502
31,a,a,a,a,a,0.046502
32,c,c,c,c,c,0.046502
33,c,c,c,c,c,0.046502
34,c,c,c,c,c,0.046502
35,a,c,b,a,a,0.046502
36,d,d,d,d,d,0.046502
37,b,b,b,b,b,0.046502
38,b,b,b,b,b,0.046502
39,c,"a, b, c, d",c,c,c,0.046502
40,d,d,d,d,d,0.046502
41,d,d,d,d,d,0.046502
42,d,d,d,d,d,0.046502
43,a,a,a,a,a,0.046502
44,a,a,a,a,a,0.046502
45,d,d,d,d,d,0.046502
46,d,d,d,d,d,0.046502
47,b,b,b,b,b,0.046502
48,a,a,a,a,a,0.046502
49,d,d,d,d,d,0.046502
