question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.021953
2,"a, b","a, b","a, b","a, b","a, b",0.021953
3,d,d,d,d,d,0.021953
4,b,b,b,b,b,0.021953
5,d,d,d,d,d,0.021953
6,a,a,a,a,a,0.021953
7,c,b,"a, b, c, d, d, d, d, a, d, a, a, d, b, c, a, a, a",d,d,0.021953
8,d,d,d,d,d,0.021953
9,"a, b","a, b","a, b","a, b","a, b",0.021953
10,b,a,b,a,a,0.021953
11,b,a,b,b,b,0.021953
12,d,d,d,d,d,0.021953
13,"a, c","a, c",a,a,"a, c",0.021953
14,"a, b, c",a,"a, c",a,a,0.021953
15,a,a,a,a,a,0.021953
16,b,d,b,b,b,0.021953
17,c,a,a,a,d,0.021953
18,a,a,a,a,a,0.021953
19,c,"c, d",c,"b, d",c,0.021953
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.021953
21,c,c,c,c,c,0.021953
22,c,c,c,c,c,0.021953
23,c,a,b,a,c,0.021953
24,c,a,c,c,a,0.021953
25,d,b,c,d,c,0.021953
26,b,c,b,d,d,0.021953
27,b,b,b,b,b,0.021953
28,a,a,a,a,a,0.021953
29,d,d,d,c,d,0.021953
30,b,b,b,b,b,0.021953
31,a,a,a,a,a,0.021953
32,c,c,c,c,c,0.021953
33,b,d,b,b,b,0.021953
34,c,c,c,c,c,0.021953
35,d,b,,a,b,0.021953
36,d,d,d,d,d,0.021953
37,b,b,b,b,b,0.021953
38,b,b,b,b,b,0.021953
39,c,c,c,c,c,0.021953
40,c,d,d,"t, t, t, t, d, d, a, b, c, d, c",d,0.021953
41,d,d,d,d,d,0.021953
42,d,d,d,d,d,0.021953
43,a,a,a,a,a,0.021953
44,a,a,a,a,a,0.021953
45,d,d,d,d,d,0.021953
46,b,d,b,d,b,0.021953
47,b,a,b,a,a,0.021953
48,a,b,a,a,a,0.021953
49,d,d,d,d,d,0.021953
