question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.011286
2,c,c,c,c,no solution or nan generated,0.011286
3,d,d,d,d,d,0.011286
4,b,b,b,b,b,0.011286
5,c,c,c,c,c,0.011286
6,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d",0.011286
7,a,a,a,a,a,0.011286
8,c,c,c,c,c,0.011286
9,d,d,d,d,d,0.011286
10,a,a,a,a,a,0.011286
11,a,a,a,a,a,0.011286
12,a,a,a,a,a,0.011286
13,"c, d","c, d","c, d","c, d","c, d",0.011286
14,b,b,b,b,b,0.011286
15,d,d,d,d,d,0.011286
16,a,"a, c, d",a,"a, c, d","a, c, d",0.011286
17,"a, c","a, c","a, c","a, c","a, c",0.011286
18,"a, d, e","a, d, e","a, d, e","a, d, e","a, d, e",0.011286
19,d,b,d,d,d,0.011286
20,c,c,c,c,c,0.011286
21,"a, b, c","a, b, c","a, b","a, b, c","a, b, c",0.011286
22,d,d,d,d,d,0.011286
23,b,b,b,b,b,0.011286
24,b,b,b,b,b,0.011286
25,a,a,a,a,a,0.011286
26,"b, c","b, c",b,"b, c",b,0.011286
27,"a, c, d","a, c, d","a, c, d","a, c, d","a, c, d",0.011286
28,c,c,c,c,c,0.011286
29,a,a,a,a,a,0.011286
30,b,b,b,b,b,0.011286
31,"a, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, c, d",0.011286
32,d,d,d,a,a,0.011286
33,b,b,b,c,b,0.011286
34,d,d,d,d,d,0.011286
35,b,b,b,b,b,0.011286
36,d,d,d,d,d,0.011286
37,d,d,d,d,d,0.011286
38,d,d,d,d,d,0.011286
39,a,a,a,a,a,0.011286
40,"b, c","b, c","b, c","b, c","b, c",0.011286
41,b,b,b,b,b,0.011286
42,b,b,b,b,b,0.011286
43,b,b,b,b,b,0.011286
44,b,b,b,b,b,0.011286
45,a,a,a,a,a,0.011286
46,d,d,d,d,d,0.011286
47,d,d,d,d,d,0.011286
48,a,a,a,a,a,0.011286
49,d,d,d,d,d,0.011286
50,"b, d","b, d",d,d,"b, d",0.011286
51,a,a,a,a,a,0.011286
52,a,a,a,a,a,0.011286
53,c,c,c,c,c,0.011286
54,b,b,b,b,b,0.011286
55,b,b,b,b,b,0.011286
56,b,b,b,b,b,0.011286
57,c,c,c,a,c,0.011286
58,b,b,b,b,b,0.011286
59,b,b,b,b,b,0.011286
60,d,d,d,d,d,0.011286
61,d,d,d,d,d,0.011286
62,d,d,d,d,d,0.011286
63,b,b,b,b,b,0.011286
64,d,d,d,d,d,0.011286
65,c,c,c,c,c,0.011286
66,d,d,d,d,d,0.011286
67,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.011286
68,d,d,d,d,d,0.011286
69,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.011286
70,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.011286
71,"a, b, c, e","a, b, c, e","a, b, c, e","a, b, c, e","a, b, c, e",0.011286
72,a,a,a,a,a,0.011286
73,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.011286
74,a,a,a,a,a,0.011286
75,"b, d","b, d","b, d","b, d","b, d",0.011286
